model,param,layer,type,shape,n,O1,O2,O3,O4,O5,O6,O7,H_ct,G_ct,K_ct,H_mp,G_mp,K_mp
GPT2-Small,transformer.h.0.attn.c_attn.weight,0,attn_input,"(768, 2304)",1769472,-0.1867723073810339,-0.08187121339142323,-0.03325330698862672,4.837888263864443e-05,0.033360769506543875,0.08210064470767975,0.18698794580996037,0.12414740910753608,0.000124256667734578,0.7007589473413713,0.08198592904955149,0.0008091239101471162,0.9365819850324181
GPT2-Small,transformer.h.0.attn.c_proj.weight,0,attn_output,"(768, 768)",589824,-0.07048834767192602,-0.02455331850796938,-0.010058154934085906,1.3942024907009909e-05,0.010097600985318422,0.024617795832455158,0.07079296465963125,0.048246122009004466,0.002051196644462549,0.7681610913657151,0.02458555717021227,0.0007442026718860618,1.2316739007943658
GPT2-Small,transformer.h.0.mlp.c_fc.weight,0,ffn_input,"(768, 3072)",2359296,-0.15042240731418133,-0.07952108420431614,-0.034849526826292276,-0.0005294469883665442,0.03422738192602992,0.07815448194742203,0.1484556905925274,0.09856423595920205,-0.0010117823636335676,0.6248266666181623,0.07883778307586908,-0.0019515279866818545,0.7287152815206596
GPT2-Small,transformer.h.0.mlp.c_proj.weight,0,ffn_output,"(3072, 768)",2359296,-0.09039894491434097,-0.051525114104151726,-0.023693974129855633,-5.738386562370579e-06,0.02363716810941696,0.05151612218469381,0.09050564467906952,0.05982809036504477,0.000446220502320254,0.5869341651198239,0.05152061814442277,2.411513833028131e-05,0.6481553025028949
GPT2-Small,transformer.h.1.attn.c_attn.weight,1,attn_input,"(768, 2304)",1769472,-0.13859985955059528,-0.07189526408910751,-0.03152611618861556,-8.507071106578223e-05,0.03136046743020415,0.07187127321958542,0.13860828056931496,0.0915938870748505,0.0003505476957830917,0.6321538025702733,0.07188326865434647,0.0010165825465745057,0.7453805333048508
GPT2-Small,transformer.h.1.attn.c_proj.weight,1,attn_output,"(768, 768)",589824,-0.0936564402654767,-0.05279315635561943,-0.023967765271663666,-0.00019670779147418216,0.023951224982738495,0.052769992500543594,0.09333335515111685,0.061700007412582636,0.0012178155588994778,0.5919750705656011,0.05278157442808151,0.00350739563838723,0.6587090602596785
GPT2-Small,transformer.h.1.mlp.c_fc.weight,1,ffn_input,"(768, 3072)",2359296,-0.14156833849847317,-0.07908838242292404,-0.03568103117868304,0.0006553533021360636,0.036532027181237936,0.07996978983283043,0.14294492825865746,0.09400782885495573,-0.000429331195891561,0.5964640755560888,0.07952908612787724,-0.0026990074654916606,0.6673665533382519
GPT2-Small,transformer.h.1.mlp.c_proj.weight,1,ffn_output,"(3072, 768)",2359296,-0.09143371600657701,-0.051672604866325855,-0.023068354232236743,6.519935777760111e-05,0.02327129733748734,0.05175889376550913,0.09134992212057114,0.06006335897836834,-0.0007007704209784339,0.5918668113410209,0.05171574931591749,-0.00042646405548988557,0.6595862399862213
GPT2-Small,transformer.h.2.attn.c_attn.weight,2,attn_input,"(768, 2304)",1769472,-0.15328417345881462,-0.08211196027696133,-0.036157471127808094,0.00011155518586747348,0.0363998394459486,0.08242261968553066,0.15350419655442238,0.10112098522949964,-0.0001564784779172849,0.617229301604361,0.082267289981246,0.0005321011355445586,0.7117988798855432
GPT2-Small,transformer.h.2.attn.c_proj.weight,2,attn_output,"(768, 768)",589824,-0.08625013381242752,-0.04979707486927509,-0.023110777139663696,1.2540552233986091e-05,0.023058305261656642,0.049533335492014885,0.0858374023810029,0.05701362938270904,-0.0021232984159490283,0.5797746581844967,0.04966520518064499,-0.002907674303143083,0.6338363716313696
GPT2-Small,transformer.h.2.mlp.c_fc.weight,2,ffn_input,"(768, 3072)",2359296,-0.1516402568668127,-0.08844983391463757,-0.04348068777471781,-0.004225828917697072,0.03465146478265524,0.07886957935988903,0.1408502496778965,0.0971536438446492,-0.0075789103974342395,0.5836701208722931,0.0836597066372633,-0.006745163022432218,0.6405662970967726
GPT2-Small,transformer.h.2.mlp.c_proj.weight,2,ffn_output,"(3072, 768)",2359296,-0.09824792481958866,-0.05651313718408346,-0.026206522015854716,2.0045394194312394e-05,0.026257451623678207,0.056607685983181,0.09828453697264194,0.06509345749509521,-0.00016675153014762242,0.5812774838723994,0.05656041158363223,0.00048141455466947636,0.6367903102140307
GPT2-Small,transformer.h.3.attn.c_attn.weight,3,attn_input,"(768, 2304)",1769472,-0.15417632833123207,-0.08607739210128784,-0.03953905729576945,-7.77095410740003e-05,0.039418102242052555,0.08584780804812908,0.1543037947267294,0.10230768093606457,0.0013444475162847959,0.5970005426190966,0.08596260007470846,-0.0004313792913796471,0.6675082050818187
