model,type,H_exact,H_L_exact,H_R_exact,G_exact,K_exact
GPT2-Medium,attn_input,0.08563,0.05291,0.05291,1e-05,0.61631
GPT2-Medium,attn_output,0.07105,0.04326,0.04324,-0.00021,0.60992
GPT2-Medium,ffn_input,0.08327,0.04983,0.04992,0.00086,0.59899
GPT2-Medium,ffn_output,0.08121,0.04915,0.04913,-0.00033,0.60541
GPT2-Small,attn_input,0.10538,0.06681,0.06681,8e-05,0.63089
GPT2-Small,attn_output,0.08469,0.05377,0.05368,-0.00029,0.63694
GPT2-Small,ffn_input,0.10137,0.06188,0.06151,-0.00234,0.60849
GPT2-Small,ffn_output,0.09178,0.05609,0.05623,0.00105,0.61265
OPT-125M,attn_input,0.03641,0.02312,0.02311,6e-05,0.63127
OPT-125M,attn_output,0.01443,0.00893,0.00894,-6e-05,0.62071
OPT-125M,ffn_input,0.02137,0.01343,0.01304,-0.01249,0.62043
OPT-125M,ffn_output,0.02242,0.01456,0.01454,-0.00097,0.65138
Pythia-160M,attn_input,0.03414,0.02603,0.02605,0.00016,0.7307
Pythia-160M,attn_output,0.01436,0.00872,0.00872,-0.00048,0.60778
Pythia-160M,ffn_input,0.02216,0.01336,0.01332,-0.00122,0.60202
Pythia-160M,ffn_output,0.01815,0.01091,0.01091,7e-05,0.60053
