layer,type,H_exact,H_ctrap,H_mid,H_ct_err,H_mp_err,K_exact,K_ctrap,K_mid,K_ct_err,K_mp_err
0,attn_input,0.1346429005676691,0.12414740910753608,0.08198592904955149,-7.8,-39.11,0.7345696822736935,0.7007589473413713,0.9365819850324181,-4.6,27.5
1,attn_input,0.10081968063793549,0.0915938870748505,0.07188326865434647,-9.15,-28.7,0.673425509418064,0.6321538025702733,0.7453805333048508,-6.13,10.68
2,attn_input,0.11127916023757674,0.10112098522949964,0.082267289981246,-9.13,-26.07,0.6599963394162468,0.617229301604361,0.7117988798855432,-6.48,7.85
3,attn_input,0.10865445956490115,0.10230768093606457,0.08596260007470846,-5.84,-20.88,0.6266159966507701,0.5970005426190966,0.6675082050818187,-4.73,6.53
4,attn_input,0.11040076537330704,0.10269759449874982,0.08678309060633183,-6.98,-21.39,0.6287015721151279,0.5944011724206625,0.6622978845500332,-5.46,5.34
5,attn_input,0.09946708036053888,0.09391789877554402,0.0808094060048461,-5.58,-18.76,0.6134087085412483,0.584892171010038,0.6432542525629624,-4.65,4.87
6,attn_input,0.09937226987149778,0.09423002955736592,0.08187378849834204,-5.17,-17.61,0.6072530605868801,0.5803278592079445,0.6345955314555598,-4.43,4.5
7,attn_input,0.10130099311916797,0.09624894912121817,0.0836864011362195,-4.99,-17.39,0.6057270371655914,0.5796076737233941,0.633077701149983,-4.31,4.52
8,attn_input,0.10021758934795745,0.09545364556834102,0.08350574132055044,-4.75,-16.68,0.6016956097699272,0.5768402908107345,0.627976075064658,-4.13,4.37
9,attn_input,0.09957350263280726,0.09485482570016757,0.08287918101996183,-4.74,-16.77,0.6019965026453907,0.5769065921843207,0.6278733827142192,-4.17,4.3
10,attn_input,0.09952215008709972,0.09450692153768614,0.08246154431253672,-5.04,-17.14,0.6042847445089962,0.5779300411651569,0.6299360922628613,-4.36,4.24
11,attn_input,0.09929481146364631,0.09302534913877025,0.08056066650897264,-6.31,-18.87,0.6130617270210467,0.581682183623674,0.6370660592642494,-5.12,3.92
0,attn_output,0.07300903708268201,0.048246122009004466,0.02458555717021227,-33.92,-66.33,0.8525068282665675,0.7681610913657151,1.2316739007943658,-9.89,44.48
1,attn_output,0.06751071043423824,0.061700007412582636,0.05278157442808151,-8.61,-21.82,0.634488089568102,0.5919750705656011,0.6587090602596785,-6.7,3.82
2,attn_output,0.061074651887985804,0.05701362938270904,0.04966520518064499,-6.65,-18.68,0.6130803595879967,0.5797746581844967,0.6338363716313696,-5.43,3.39
3,attn_output,0.06414998218433476,0.05998501426074654,0.05178844928741455,-6.49,-19.27,0.6159969840467495,0.5834237771584475,0.6404978272325652,-5.29,3.98
4,attn_output,0.07071726217439961,0.06614077201811597,0.0565859149210155,-6.47,-19.98,0.620666884200025,0.5882342238128192,0.6499809097183318,-5.23,4.72
5,attn_output,0.07261312842740246,0.0686349026800599,0.059581737499684095,-5.48,-17.95,0.6101125418899723,0.581005986692492,0.6359804973719314,-4.77,4.24
6,attn_output,0.08774351361156094,0.08267717598937452,0.07145695853978395,-5.77,-18.56,0.6137368691401526,0.5837984742859523,0.6415729151630812,-4.88,4.54
7,attn_output,0.08768063155626568,0.08250509039498866,0.07124975696206093,-5.9,-18.74,0.6137284017396895,0.5838600608796225,0.6415581810503534,-4.87,4.53
8,attn_output,0.09467817817107442,0.08928977948380634,0.07795632444322109,-5.69,-17.66,0.6084942850076868,0.5789691912269872,0.6324390941751293,-4.85,3.94
9,attn_output,0.10552906091677945,0.09950025886064395,0.08606615010648966,-5.71,-18.44,0.6131741199653897,0.5834350240461452,0.6408867099885757,-4.85,4.52
10,attn_output,0.11128856957054462,0.10465062106959522,0.09031538385897875,-5.96,-18.85,0.6130552262665692,0.5833759350811947,0.6403113603908125,-4.84,4.45
11,attn_output,0.12025644577106481,0.1096238138852641,0.09274325985461473,-8.84,-22.88,0.6342024142499396,0.5929952532162381,0.6591720772072415,-6.5,3.94
0,ffn_input,0.1051669031877882,0.09856423595920205,0.07883778307586908,-6.28,-25.04,0.6562853341222546,0.6248266666181623,0.7287152815206596,-4.79,11.04
1,ffn_input,0.09996378456836713,0.09400782885495573,0.07952908612787724,-5.96,-20.44,0.6268873798774609,0.5964640755560888,0.6673665533382519,-4.85,6.46
2,ffn_input,0.10279224472092646,0.0971536438446492,0.0836597066372633,-5.49,-18.61,0.6112013785077052,0.5836701208722931,0.6405662970967726,-4.5,4.8
3,ffn_input,0.10187181314504296,0.09677464474225417,0.08424262888729572,-5.0,-17.31,0.6039349409185896,0.578363404205026,0.63045464905723,-4.23,4.39
4,ffn_input,0.10164903800884634,0.09649782907217741,0.08351506851613522,-5.07,-17.84,0.6071950450710903,0.58133112731992,0.6361307341862471,-4.26,4.77
5,ffn_input,0.09957513090849912,0.09451367851579562,0.08217710629105568,-5.08,-17.47,0.6044556884079225,0.5787293104184351,0.6310559986085655,-4.26,4.4
6,ffn_input,0.0995118994009887,0.09463249915279448,0.08238648623228073,-4.9,-17.21,0.6028140424509839,0.5776915102704475,0.6289323011410934,-4.17,4.33
7,ffn_input,0.10006084930414692,0.09540721756638959,0.08348588272929192,-4.65,-16.56,0.5988293428019443,0.5749818878814337,0.6237795896075116,-3.98,4.17
8,ffn_input,0.10084876333324579,0.09627457696478814,0.0842633219435811,-4.54,-16.45,0.5981301380863814,0.5747652355160507,0.6233304233505483,-3.91,4.21
9,ffn_input,0.10122640955432058,0.09659658349119127,0.08485231827944517,-4.57,-16.18,0.5968951557760284,0.5732667265984942,0.6206787991542,-3.96,3.98
10,ffn_input,0.10123516135522975,0.0965755709912628,0.08493486139923334,-4.6,-16.1,0.5964417534038045,0.5725981652851242,0.6194112974684026,-4.0,3.85
11,ffn_input,0.10253529006505147,0.09766812453744933,0.08565039467066526,-4.75,-16.47,0.598756746418562,0.5742734405370415,0.6226192286116287,-4.09,3.99
0,ffn_output,0.06414202084143517,0.05982809036504477,0.05152061814442277,-6.73,-19.68,0.6203056824094253,0.5869341651198239,0.6481553025028949,-5.38,4.49
1,ffn_output,0.06410802303614699,0.06006335897836834,0.05171574931591749,-6.31,-19.33,0.6269657639980958,0.5918668113410209,0.6595862399862213,-5.6,5.2
2,ffn_output,0.06946746478873059,0.06509345749509521,0.05656041158363223,-6.3,-18.58,0.6136363241211632,0.5812774838723994,0.6367903102140307,-5.27,3.77
3,ffn_output,0.0687584353578087,0.06459897631430067,0.05606234818696976,-6.05,-18.46,0.6125072788407429,0.5812507287758558,0.636488844041865,-5.1,3.92
4,ffn_output,0.06939504439425032,0.0652537876740098,0.05685003846883774,-5.97,-18.08,0.6109389360021321,0.5799079124583618,0.6341659280527341,-5.08,3.8
5,ffn_output,0.07507042218144322,0.07063988759182394,0.06159094348549843,-5.9,-17.96,0.610346685570574,0.5797988699304141,0.6340724988814925,-5.0,3.89
6,ffn_output,0.08288689996306954,0.07809799362439662,0.06807342078536749,-5.78,-17.87,0.6096560462240369,0.5796934605062732,0.6337713656272008,-4.91,3.96
7,ffn_output,0.09225291257564867,0.08719078911235556,0.07605198491364717,-5.49,-17.56,0.6077205525868437,0.5790528542481058,0.6324413395059529,-4.72,4.07
8,ffn_output,0.10524640035088517,0.09942179679637775,0.08662681095302105,-5.53,-17.69,0.6085581755524262,0.579554232021132,0.6333750368086465,-4.77,4.08
9,ffn_output,0.121238235917899,0.11449999513570219,0.09965408872812986,-5.56,-17.8,0.6093014459304752,0.5803349517846199,0.6349474756086438,-4.75,4.21
10,ffn_output,0.13795693681615892,0.13024167221738026,0.11306433752179146,-5.59,-18.04,0.6094197780333941,0.5810579339922347,0.6361036012300565,-4.65,4.38
11,ffn_output,0.15085568533390611,0.14166399120585993,0.12248044554144144,-6.09,-18.81,0.6124720651110368,0.5822659791908578,0.6380933797964886,-4.93,4.18
